TeamID,TeamName,Seed,SeedNum,Region,Round of 64,Round of 32,Sweet 16,Elite Eight,Final Four,Championship,Champion
1276,Michigan,Y01,1,Y,1.0,0.9987,0.8609,0.6763,0.4969,0.3355,0.2149
1181,Duke,W01,1,W,1.0,0.9975,0.8532,0.6735,0.5103,0.3445,0.2013
1112,Arizona,Z01,1,Z,1.0,0.9982,0.8522,0.6505,0.4404,0.2428,0.1334
1196,Florida,X01,1,X,1.0,0.9988,0.7724,0.524,0.3052,0.1638,0.0806
1235,Iowa St,Y02,2,Y,1.0,0.9937,0.7538,0.5112,0.2311,0.1221,0.0636
1228,Illinois,X03,3,X,1.0,0.9808,0.7386,0.4242,0.2334,0.1184,0.0534
1222,Houston,X02,2,X,1.0,0.9773,0.7484,0.4167,0.2218,0.1038,0.0474
1345,Purdue,Z02,2,Z,1.0,0.9886,0.7475,0.4275,0.199,0.0811,0.0339
1211,Gonzaga,Z03,3,Z,1.0,0.9756,0.6292,0.3384,0.1462,0.0573,0.0226
1277,Michigan St,W03,3,W,1.0,0.9483,0.5273,0.3033,0.1085,0.0441,0.0151
1435,Vanderbilt,X05,5,X,1.0,0.8771,0.5084,0.2125,0.0955,0.0376,0.0151
1257,Louisville,W06,6,W,1.0,0.8077,0.4231,0.2424,0.0868,0.0363,0.0138
1163,Connecticut,W02,2,W,1.0,0.9806,0.6642,0.3279,0.118,0.0449,0.0138
1116,Arkansas,Z04,4,Z,1.0,0.9244,0.5837,0.1987,0.0893,0.0305,0.0123
1104,Alabama,Y04,4,Y,1.0,0.9118,0.5236,0.1491,0.0696,0.0264,0.0106
1385,St John's,W05,5,W,1.0,0.8581,0.4863,0.141,0.0712,0.0274,0.0096
1438,Virginia,Y03,3,Y,1.0,0.9508,0.503,0.1947,0.0535,0.0211,0.0088
1304,Nebraska,X04,4,X,1.0,0.9583,0.4647,0.1683,0.0689,0.0243,0.0083
1397,Tennessee,Y06,6,Y,1.0,0.7043,0.3823,0.1596,0.0517,0.0195,0.0079
1403,Texas Tech,Y05,5,Y,1.0,0.8421,0.4322,0.1122,0.0466,0.0175,0.0068
1242,Kansas,W04,4,W,1.0,0.9127,0.4744,0.1229,0.0569,0.02,0.0051
1140,BYU,Z06,6,Z,1.0,0.6164,0.2491,0.1104,0.0378,0.011,0.0034
1458,Wisconsin,Z05,5,Z,1.0,0.8432,0.3768,0.0921,0.0346,0.008,0.0026
1314,North Carolina,X06,6,X,1.0,0.7074,0.2117,0.0773,0.0239,0.0077,0.0025
1246,Kentucky,Y07,7,Y,1.0,0.633,0.1754,0.0791,0.0195,0.0065,0.0025
1326,Ohio St,W08,8,W,1.0,0.6099,0.1015,0.0448,0.0187,0.0066,0.0024
1208,Georgia,Y08,8,Y,1.0,0.5959,0.0946,0.0434,0.0164,0.0055,0.0015
1417,UCLA,W07,7,W,1.0,0.6594,0.2493,0.093,0.0199,0.0061,0.0013
1274,Miami FL,Z07,7,Z,1.0,0.6413,0.188,0.0702,0.0204,0.0049,0.0009
1234,Iowa,X09,9,X,1.0,0.57,0.1441,0.063,0.0191,0.005,0.0008
1401,Texas A&M,X10,10,X,1.0,0.5025,0.1241,0.0369,0.0112,0.0024,0.0007
1388,St Mary's CA,X07,7,X,1.0,0.4975,0.1253,0.035,0.0098,0.0025,0.0005
1429,Utah St,Z09,9,Z,1.0,0.5302,0.0802,0.0335,0.0119,0.0024,0.0005
1374,SMU,Y11b,11,Y,1.0,0.2738,0.1082,0.0284,0.0049,0.0014,0.0004
1437,Villanova,Z08,8,Z,1.0,0.4698,0.0673,0.0231,0.007,0.0014,0.0003
1301,NC State,Z11a,11,Z,1.0,0.2175,0.0707,0.0246,0.0077,0.0013,0.0003
1155,Clemson,X08,8,X,1.0,0.43,0.0835,0.0298,0.009,0.0022,0.0003
1281,Missouri,Z10,10,Z,1.0,0.3587,0.0636,0.0149,0.0028,0.0007,0.0002
1400,Texas,Z11b,11,Z,1.0,0.1661,0.0489,0.014,0.0027,0.0009,0.0002
1387,St Louis,Y09,9,Y,1.0,0.4041,0.0444,0.0167,0.0052,0.001,0.0001
1365,Santa Clara,Y10,10,Y,1.0,0.367,0.0707,0.0266,0.0044,0.0012,0.0001
1433,VCU,X11,11,X,1.0,0.2926,0.0482,0.0098,0.0021,0.0005,0.0001
1416,UCF,W10,10,W,1.0,0.3406,0.0853,0.0199,0.0022,0.0004,0.0001
1395,TCU,W09,9,W,1.0,0.3901,0.0451,0.0154,0.0048,0.0007,0.0
1270,McNeese St,X12,12,X,1.0,0.1229,0.0244,0.0023,0.0001,0.0,0.0
1378,South Florida,W11,11,W,1.0,0.1923,0.0441,0.0126,0.0024,0.0007,0.0
1398,Tennessee St,Y15,15,Y,1.0,0.0063,0.0001,0.0,0.0,0.0,0.0
1254,LIU Brooklyn,Z16,16,Z,1.0,0.0018,0.0003,0.0,0.0,0.0,0.0
