TeamID,TeamName,Seed,SeedNum,Region,Round of 64,Round of 32,Sweet 16,Elite Eight,Final Four,Championship,Champion
1276,Michigan,Y01,1,Y,1.0,0.9984,0.8629,0.6779,0.4955,0.3382,0.2175
1181,Duke,W01,1,W,1.0,0.9982,0.8572,0.6772,0.518,0.3491,0.2065
1112,Arizona,Z01,1,Z,1.0,0.9982,0.8493,0.6467,0.4379,0.2356,0.1264
1196,Florida,X01,1,X,1.0,0.9988,0.7788,0.528,0.3104,0.1671,0.0796
1235,Iowa St,Y02,2,Y,1.0,0.9941,0.7505,0.506,0.2254,0.1196,0.0638
1228,Illinois,X03,3,X,1.0,0.9816,0.736,0.4175,0.2252,0.1105,0.0518
1222,Houston,X02,2,X,1.0,0.9754,0.7449,0.4185,0.2237,0.1065,0.0461
1345,Purdue,Z02,2,Z,1.0,0.9881,0.7481,0.4285,0.1975,0.0806,0.0338
1211,Gonzaga,Z03,3,Z,1.0,0.9734,0.6301,0.3399,0.1496,0.0569,0.0263
1163,Connecticut,W02,2,W,1.0,0.9799,0.6598,0.328,0.1103,0.0428,0.0152
1435,Vanderbilt,X05,5,X,1.0,0.8767,0.5062,0.2062,0.0934,0.0363,0.0151
1257,Louisville,W06,6,W,1.0,0.8084,0.4283,0.2443,0.0891,0.037,0.0142
1277,Michigan St,W03,3,W,1.0,0.9454,0.5203,0.2998,0.1061,0.0433,0.0134
1116,Arkansas,Z04,4,Z,1.0,0.9231,0.5824,0.1959,0.0882,0.0308,0.0125
1104,Alabama,Y04,4,Y,1.0,0.9109,0.5248,0.1443,0.0675,0.0274,0.0094
1304,Nebraska,X04,4,X,1.0,0.9573,0.467,0.1739,0.0698,0.0258,0.0085
1385,St John's,W05,5,W,1.0,0.8566,0.4922,0.1407,0.0722,0.0273,0.008
1397,Tennessee,Y06,6,Y,1.0,0.7012,0.3769,0.1569,0.0523,0.0199,0.0079
1438,Virginia,Y03,3,Y,1.0,0.9527,0.5085,0.2021,0.0577,0.0213,0.0078
1403,Texas Tech,Y05,5,Y,1.0,0.8431,0.4298,0.1115,0.0474,0.0174,0.0065
1242,Kansas,W04,4,W,1.0,0.9128,0.466,0.1211,0.0558,0.0198,0.0054
1140,BYU,Z06,6,Z,1.0,0.615,0.2495,0.1058,0.0358,0.012,0.0036
1458,Wisconsin,Z05,5,Z,1.0,0.8436,0.3772,0.097,0.0386,0.0119,0.0035
1246,Kentucky,Y07,7,Y,1.0,0.6328,0.176,0.0789,0.0202,0.0069,0.0025
1208,Georgia,Y08,8,Y,1.0,0.5965,0.0937,0.0447,0.0171,0.0058,0.0021
1417,UCLA,W07,7,W,1.0,0.6559,0.2511,0.0943,0.0226,0.0071,0.002
1314,North Carolina,X06,6,X,1.0,0.7042,0.2136,0.0803,0.026,0.0067,0.0019
1234,Iowa,X09,9,X,1.0,0.5735,0.1406,0.0622,0.0197,0.0044,0.0016
1326,Ohio St,W08,8,W,1.0,0.6063,0.0986,0.0434,0.0165,0.0053,0.0015
1274,Miami FL,Z07,7,Z,1.0,0.6414,0.1868,0.0688,0.0199,0.0054,0.0012
1155,Clemson,X08,8,X,1.0,0.4265,0.0806,0.027,0.0069,0.0026,0.0008
1401,Texas A&M,X10,10,X,1.0,0.5028,0.1291,0.038,0.0114,0.003,0.0006
1429,Utah St,Z09,9,Z,1.0,0.5317,0.0832,0.0336,0.0104,0.0023,0.0005
1365,Santa Clara,Y10,10,Y,1.0,0.3672,0.0732,0.0256,0.0041,0.0012,0.0004
1374,SMU,Y11b,11,Y,1.0,0.2757,0.1075,0.0299,0.0059,0.0016,0.0003
1387,St Louis,Y09,9,Y,1.0,0.4035,0.0433,0.0185,0.0061,0.0015,0.0003
1388,St Mary's CA,X07,7,X,1.0,0.4972,0.1227,0.0351,0.0113,0.0028,0.0003
1378,South Florida,W11,11,W,1.0,0.1916,0.0455,0.0116,0.0021,0.0008,0.0003
1437,Villanova,Z08,8,Z,1.0,0.4683,0.0671,0.0248,0.0073,0.0008,0.0003
1301,NC State,Z11a,11,Z,1.0,0.2225,0.0713,0.025,0.0075,0.0014,0.0002
1395,TCU,W09,9,W,1.0,0.3937,0.0441,0.0151,0.0045,0.001,0.0001
1400,Texas,Z11b,11,Z,1.0,0.1625,0.0471,0.0162,0.0046,0.001,0.0001
1433,VCU,X11,11,X,1.0,0.2958,0.0487,0.0104,0.002,0.0003,0.0001
1281,Missouri,Z10,10,Z,1.0,0.3586,0.0642,0.0156,0.0027,0.0004,0.0001
1254,LIU Brooklyn,Z16,16,Z,1.0,0.0018,0.0004,0.0,0.0,0.0,0.0
1270,McNeese St,X12,12,X,1.0,0.1233,0.0238,0.0027,0.0002,0.0,0.0
1398,Tennessee St,Y15,15,Y,1.0,0.0059,0.0003,0.0,0.0,0.0,0.0
1250,Lehigh,X16a,16,X,1.0,0.0008,0.0,0.0,0.0,0.0,0.0
1224,Howard,Y16a,16,Y,1.0,0.0008,0.0,0.0,0.0,0.0,0.0
1244,Kennesaw,Z14,14,Z,1.0,0.0266,0.002,0.0001,0.0,0.0,0.0
1335,Penn,X14,14,X,1.0,0.0184,0.0017,0.0,0.0,0.0,0.0
1416,UCF,W10,10,W,1.0,0.3441,0.0879,0.0213,0.0025,0.0004,0.0
1420,UMBC,Y16b,16,Y,1.0,0.0008,0.0001,0.0,0.0,0.0,0.0
1295,N Dakota St,W14,14,W,1.0,0.0546,0.0059,0.0006,0.0,0.0,0.0
1275,Miami OH,Y11a,11,Y,1.0,0.0231,0.0043,0.0004,0.0,0.0,0.0
1320,Northern Iowa,W12,12,W,1.0,0.1434,0.0318,0.0021,0.0003,0.0001,0.0
